wpid,title,author1first,author1mid,author1last,author1workplace,author2first,author2mid,author2last,author2workplace,author3first,author3mid,author3last,author3workplace,author4first,author4mid,author4last,author4workplace,author5first,author5mid,author5last,author5workplace,abstract,creationdate,sectionurlid,papernumber,filefunction,jel,keywords,suppress
1029,Institutions and Development in Latin America: A Comparative Analysis,Alejandro,NULL,Portes,Princeton University,Lori,D.,Smith,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"We review the theoretical literature on the concept of institutions and its relationship to national development, propose a definition of the concept, and advance six hypotheses about institutional adequacy and contributions to national development. We then present results of a comparative empirical study of existing institutions in three Latin American countries and examine their organizational similarities and differences. Employing the qualitative comparative method (QCA) proposed by Ragin, we then test the six hypotheses. Results converge in showing the importance of meritocracy, immunity to corruption, absence of ?islands of power?, and proactivity in producing effective institutions. Findings strongly support Evans? theory of developmental apparatuses.",2007-12,CMD,wp0801.pdf,NULL,NULL,NULL,0
1030,On the Design of Monetary Policy Committees,Alan,S.,Blinder,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"As the opening speaker, I may perhaps be permitted a short trip down memory lane.  The trip is purposeful, and it will be mercifully short.  While preparing my Marshall Lectures for delivery at Cambridge in 1995, I asked the Federal Reserve staff, for I was then Vice Chairman, to research what had been written about monetary policymaking by committees?as opposed to by individuals.  Although they were (and remain) a knowledgeable and thorough bunch, they unearthed almost nothing. So when I subsequently delivered the Robbins Lectures at the London School of Economics the following year, this is what I concluded on the subject:  My own hunch is that, on balance, the additional monetary policy inertia imparted by group decisionmaking provides a net benefit to society.  But my main point is simpler: My experience as a member of the FOMC left me with a strong feeling that the theoretical fiction that monetary policy is made by a single individual maximizing a well-defined preference function misses something important. In my view, monetary theorists should start paying some attention to the nature of decisionmaking by committee, which is rarely mentioned in the academic literature. (Blinder, 1998, p. 22)",2007-09,CEPS,153blinder.pdf,NULL,NULL,NULL,0
1031,The Efficiency of the Chinese Stock Markets: Some Unfinished Business on the Road  to Economic Transformation,Burton,G.,Malkiel,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"In his William S. Vickrey address to the International Atlantic Economic  association in 2005, Franklin Allen examined the question of how China has managed to  grow rapidly in the absence of many of the factors usually considered essential to  economic expansion in Western economies. China had no tradition of the rule of law,  corruption was rampant, and the financial institutions that could facilitate growth were  inadequate and/or dysfunctional. In particular, the stock and bond markets in China were  undeveloped and the banking system did not serve as an institution that could effectively  channel individual savings into those companies with the highest potential investment  opportunities.",2007-12,CEPS,154malkiel.pdf,NULL,NULL,NULL,0
1032,Monetary Policy Models,Christopher,A.,Sims,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"I have written several papers for BPEA (2002; 1996; 1982) looking at the relation of  multiple equation quantitative economic models to the process of monetary policy  making. When the first of these papers was written, the impact of the rational expectations  critique in undermining academic interest in quantitative modeling for monetary  policy was apparent. Many, maybe most, economists took the Lucas critique  to imply that the month-to-month business of choosing monetary policy actions in  the light of current information was trivial or irrelevant. Economists were thought to  have nothing useful to say about it. Economists were supposed to contemplate only  the choice of policy ?rules?, which were modeled as functions mapping the state of  the economy into policy actions.",2007-11,CEPS,155sims.pdf,NULL,NULL,NULL,0
1033,Feeling the Florida Heat? How Low-Performing Schools Respond to Voucher and Accountability Pressure,Cecilia,E.,Rouse,Princeton University and NBER,Jane,NULL,Hannaway,Urban Institute,Dan,NULL,Goldhaber,University of Washington,David,NULL,Figlio,University of Florida and NBER,NULL,NULL,NULL,NULL,"While numerous recent authors have studied the effects of school accountability systems on  student test performance and school ?gaming? of accountability incentives, there has been little  attention paid to substantive changes in instructional policies and practices resulting from school  accountability. The lack of research is primarily due to the unavailability of appropriate data to  carry out such an analysis. This paper brings to bear new evidence from a remarkable five-year  survey conducted of a census of public schools in Florida, coupled with detailed administrative  data on student performance. We show that schools facing accountability pressure changed their  instructional practices in meaningful ways. In addition, we present medium-run evidence of the  effects of school accountability on student test scores, and find that a significant portion of these  test score gains can likely be attributed to the changes in school policies and practices that we  uncover in our surveys.",2007-11,CEPS,156rouse.pdf,NULL,NULL,NULL,0
1034,National Time Accounting: The Currency of Life,Alan,B.,Krueger,Princeton University and NBER,Daniel,NULL,Kahneman,Princeton University,David,NULL,Schkade,"University of California, San Diego",Norbert,NULL,Schwarz,University of Michigan,Arthur,A.,Stone,Stony Brook University,"This monograph proposes a new approach for measuring features of society?s subjective well-being, based on time allocation and affective experience. We call this approach National Time Accounting (NTA). National Time Accounting is a set of methods for measuring, comparing and analyzing how people spend and experience their time -- across countries, over historical time, or between groups of people within a country at a given time. The approach is based on evaluated time use, or the flow of emotional experience during daily activities. After reviewing evidence on the validity of subjective well-being measures, we present and evaluate diary-based survey techniques designed to measure individuals? emotional experiences and time use. We illustrate NTA with: (1) a new cross-sectional survey on time use and emotional experience for a representative sample of 4,000 Americans; (2) historical data on the amount of time devoted to various activities in the United States since 1965; and (3) a comparison of time use and well-being in the United States and France. In our applications, we focus mainly on the U-index, a measure of the percentage of time that people spend in an unpleasant state, defined as an instance in which the most intense emotion is a negative one. The U-index helps to overcome some of the limitations of interpersonal comparisons of subjective well-being. National Time Accounting strikes us as a fertile area for future research because of advances in subjective measurement and because time use data are now regularly collected in many countries.",2007-11,CEPS,157krueger.pdf,NULL,NULL,NULL,0
1035,Did Active Labour Market Policies Help Sweden Rebound from the Depression of the Early 1990s?,Anders,NULL,Forslund,Uppsala University,Alan,B.,Krueger,Princeton University and NBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"In the early 1990s the Swedish labour market was hit by the worst shock it experienced since the 1930s, with the unemployment rate rising to 10 percent. This development stands out in light of Sweden?s performance in the post-war period. Between the mid 1940s and the crisis of the 1990s, the Swedish unemployment rate oscillated between one percent and just under four percent (Figure 1). Unemployment even remained low in the 1970s despite oil price shocks that led to persistently high unemployment elsewhere in Europe. A natural question is what, if anything, in Swedish institutions and policies explains why Sweden?s unemployment rate did not follow the same pattern as in most western European countries? A factor often mentioned for this envious performance is Sweden?s active labour market policies (cf e.g. Layard, Nickell and Jackman, 1991).",2008-03,CEPS,158krueger.pdf,NULL,NULL,NULL,0
1036,"Do Value-Added Models Add Value?  Tracking, Fixed Effects, and Causal Inference",Jesse,NULL,Rothstein,Princeton University and NBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Researchers conducting non-experimental studies of panel data often attempt to remove the  potentially biasing effects of individual heterogeneity through the inclusion of fixed effects. I  evaluate so-called ?Value Added Models? (VAMs) that attempt to identify teachers? effects on  student achievement. I develop falsification tests based on the assumption that teachers in later  grades cannot have causal effects on students? test scores in earlier grades. A simple VAM like those  used in the literature fails this test: 5th grade teachers have nearly as large effects on 4th grade gains as  on 5th grade gains. This is direct evidence of non-random assignment. I use a correlated random  effects model to generalize the test to more complex estimators that allow for tracking on the basis  of students? permanent ability. The identifying restrictions of these estimators are again rejected.  Teacher assignments evidently respond dynamically to year-to-year fluctuations in students?  achievement. I propose models of this process that permit identification. Estimated teacher effects  are quite sensitive to model specification; estimators that are consistent in the presence of (some  forms of) dynamic tracking yield very different assessments of teacher quality than those obtained  from common VAMs. VAMs need further development and validation before they can support  causal interpretations or policy applications.,2007-11,CEPS,159rothstein.pdf,NULL,NULL,NULL,0
1037,The Effect of Mergers on Consumer Prices: Evidence from Five Selected Case Studies,Orley,NULL,Ashenfelter,Princeton University,Daniel,NULL,Hosken,Federal Trade Commission,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"In this paper we propose a method to evaluate the effectiveness of U.S. horizontal merger  policy and apply it to the study of five recent consumer product mergers. We selected the  mergers from those that, from the public record, seemed to be most problematic for the  antitrust agencies. Thus we estimate an upper bound on the likely price effect of  completed mergers. Our study employs retail scanner data and uses familiar panel data  program evaluation procedures to measure price changes. Our results indicate that four  of the five mergers resulted in some increases in consumer prices, while the fifth merger  had little effect.",2008-02,CEPS,160ashenfelter.pdf,NULL,"L1, L41, L66, L71, L73","Horizontal Mergers, Merger Retrospectives, Antitrust, Consumer Products,  Program Evaluation",0
1038,Central Bank Communication and Monetary Policy: A Survey of Theory and Evidence,Alan,S.,Blinder,Princeton University,Michael,NULL,Ehrmann,European Central Bank,Marcel,NULL,Fratzscher,European Central Bank,Jakob,NULL,De Haan,University of Groningen and CESifo,David-Jan,NULL,Jansen,De Nederlandsche Bank,"Over the last two decades, communication has become an increasingly important aspect of monetary policy. These real-world developments have spawned a huge new scholarly literature on central bank communication?mostly empirical, and almost all of it written in this decade. We survey this ever-growing literature. The evidence suggests that communication can be an important and powerful part of the central bank?s toolkit since it has the ability to move financial markets, to enhance the predictability of monetary policy decisions, and potentially to help achieve central banks? macroeconomic objectives. However, the large variation in communication strategies across central banks suggests that a consensus has yet to emerge on what constitutes an optimal communication strategy.",2008-03,CEPS,161blinder.pdf,NULL,NULL,NULL,0
1039,"Is the Company Man an Anachronism?  Trends in Long Term Employment in the U.S., 1973-20061",Henry,S.,Farber,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The wave of corporate downsizing in the 1990s focused attention on the role  of long-term employment relationships in the United States. Given 1) the importance  that these relationships have played historically, 2) the general view that  long-term jobs are ?good jobs,? and 3) the suspicion that long-term employment  relationships are becoming less common, I carry out a systematic investigation  of the extent to which long-term employment relationships have, in fact, become  less common. Specifically, I examine age-specific changes in the length of employment  relationships for different birth cohorts from 1914-1981 using data from  various supplements to the Current Population Survey (CPS) from 1973 through  2006. After controlling for demographic characteristics, I find that mean tenure  and the fraction of workers reporting at least ten and at least twenty years of  tenure have both fallen substantially. This decline is concentrated among men,  while long-term employment relationships have became slightly more common  among women. Mirroring this decline in tenure and long-term employment relationships,  there has been an increase in ?churning? (defined as the proportion of  workers in jobs with less than one year of tenure) for males as they enter their  thirties and later. This pattern suggests that more recent cohorts are less likely  than their parents to have a career characterized by a ?life-time? job with a single  employer.",2007-09,IRS,dsp01ft848q61h,NULL,NULL,NULL,0
1040,Labor Market Adjustment to Globalization:  Long-Term Employment in the United States and Japan,Henry,S.,Farber,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The increasing globalization of production and trade in the last 25 years has  required substantial adjustment of employment relationships in the United States  and Japan. Worker attachment to firms has always been lower in the U.S. than  in Japan, and this is reflected in a difference in institutions. As both the U.S.  and Japan have been faced with similar global competitive pressures, firms in  the two countries have responded in ways that are consistent with their histories,  institutions, and demographics. Firms in the United States have laid off workers,  even those in long-term primary jobs. Firms in Japan have taken the approach  of reassigning workers to other, perhaps lesser, jobs, seconding workers to other  firms, and making more use of part-time and secondary jobs. The result of  this difference in strategies is that the Japanese-U.S. gap in worker attachment  to firms has widened, particularly for males. Interestingly, the Japanese labor  market has made increased use of part-time and other non-standard workers,  particularly for females, to an extent not seen in the United States",2007-09,IRS,dsp01tb09j566t,NULL,NULL,NULL,0
1041,Job Loss and the Decline in Job Security in the United States,Henry,S.,Farber,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Job tenure and the incidence of long-term employment have declined sharply in the United  States. However, rates of job loss as measured by the Displaced Workers Survey (DWS),  while cyclical, have not increased. This presents a puzzle that has several potential solutions.  One is that, while overall rates of job loss have not increased, rates of job loss for high-tenure  workers have increased relative to those for lower-tenure workers. Another is that there has  been an increase in rates of job change that is not captured in the limited questions asked  in the DWS. Some of this seemingly voluntary job change (e.g., the taking of an offered  buy-out) may reflect the kind of worker displacement that the DWS was meant to capture  but is not reported as such by workers.  In this study, I address these issues by 1) documenting the decline in job tenure and longterm  employment using data from various supplements to the Current Population Survey  (CPS) from 1973-2006, 2) documenting the lack of secular change in rates of job loss using  data from the DWS from 1984-2006, and 3) exploring the extent to which the observed  patterns result from a relative increase in rates of job loss among high-tenure workers. I  find that these has been no such relative change and that reconciliation of the trends in the  tenure and displacement data must lie with a failure to identify all relevant displacement in  the DWS.",2007-09,IRS,dsp01xk81jk38d,NULL,NULL,NULL,0
1042,Estimating the Effects of Length of Exposure to a Training Program: The Case of Job  Corps,Alfonso,NULL,Flores-Lagunes,University of Arizona and Princeton University,Arturo,NULL,Gonzalez,Public Policy Institute of California and IZA,Todd,C.,Neumann,"University of California, Merced",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Most of the literature on the evaluation of training programs focuses on the effect of participation  on a particular outcome (e.g. earnings). The ?treatment? is generally represented by a binary  variable equal to one if participation in the program occurs, and equal to zero if no participation  occurs. While the use of a binary treatment indicator is attractive for ease of interpretation and  estimation, it treats all exposure the same. The extent of exposure to the treatment, however, is  potentially important in determining the outcome; particularly in training programs where a main  feature is the varying length of the training spells of participating individuals. In this paper, we  illustrate how recently developed methods for the estimation of causal effects from continuous  treatments can be used to learn about the consequences of heterogeneous lengths of enrollment in  the evaluation of training programs. We apply these methods to data on Job Corps (JC),  America?s largest and most comprehensive job training program for disadvantaged youth. The  length of exposure is a significant source of heterogeneity in these data: while the average  participation spell in JC is 28 weeks, its standard deviation and interdecile range are 27 and 62  weeks, respectively. We estimate average causal effects of different lengths of exposure to JC  using the ?generalized propensity score? under the assumption that the length of the individual?s  JC spell is randomly assigned, conditional on a rich set of covariates. Finally, using this  approach, we document important differences across different spell lengths and across three  racial and ethnic groups of participants (blacks, whites and Hispanics) that help understand why  the benefits these groups receive from JC are so disparate from estimates derived using  traditional methods.",2007-06,IRS,dsp01n583xt970,NULL,"C21, J24, I38","Training Programs, Continuous Treatments, Generalized Propensity Score, Dose-  Response Function",0
1043,Returning to New Orleans after Hurricane Katrina,Christina,NULL,Paxson,Princeton University,Cecilia,E.,Rouse,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hurricane Katrina displaced approximately 650,000 people and destroyed or severely damaged 217,000 homes along the Gulf Coast. Damage was especially severe in New Orleans, and the return of displaced residents to this city has been slow. The fraction of households receiving mail (which, in the absence of reliable population estimates, is a good indicator for returns) was 49.5 percent in August 2006, and 66.0 percent in June 2007 (Greater New Orleans Community Data Center, 2007). Low-income minority families appear to have been slower than others to return (William H. Frey and Audrey Singer, 2006).  In this paper, we examine the determinants of returning to New Orleans in the 18 months after the hurricane. The data come from a study of low-income parents?mainly African American women?who were enrolled in a community college intervention prior to the hurricane. Although the sample is not representative of the pre-Katrina population of the city, it nonetheless is of great interest. The relatively slow return of low income, primarily African American, residents is a politically charged issue. One (extreme) view is that the redevelopment plans are designed to discourage low-income minority residents from returning. A quite different view is that members of this group have found better opportunities outside of New Orleans, and do not want to return. Because few data sets trace individuals from before to after the hurricane, this debate has taken place largely without the benefit of evidence.",2008-01,IRS,dsp0173666450b,NULL,NULL,NULL,0
1044,Using VARs to Identify Models of Fiscal Policy: A Comment on Perotti,Ricardo,NULL,Reis,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"This note comments on Perotti?s (2008) estimates of the impact of a government  spending shock on the economy. In the process, it makes two points. First, it notes  that with enough freedom to pick the dynamics of policy variables, the neoclassical  model can generate any set of observations for the non-policy variables. Second, it  proposes a method to identify the policy dynamics in theoretical models by using the  estimated impulse responses of the policy variables from VARs, and in this way generate  testable predictions of the model for the non-policy variables.",2007-06,WWSEcon,dp234.pdf,NULL,NULL,NULL,0
1045,Heterogeneous Risk Preferences and the Welfare Cost of Business Cycles,Sam,NULL,Schulhofer-Wohl,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"I study the welfare cost of business cycles in a complete-markets economy where  some people are more risk averse than others. Relatively more risk-averse people buy  insurance against aggregate risk, and relatively less risk-averse people sell insurance.  These trades reduce the welfare cost of business cycles for everyone. Indeed, the least  risk-averse people benet from business cycles. Moreover, even innitely risk-averse  people suer only nite and, in my empirical estimates, very small welfare losses. In  other words, when there are complete insurance markets, aggregate  uctuations in  consumption are essentially irrelevant not just for the average person { the surprising  nding of Lucas (1987) { but for everyone in the economy, no matter how risk averse  they are. If business cycles matter, it is because they aect productivity or interact  with uninsured idiosyncratic risk, not because aggregate risk per se reduces welfare.",2008-01,WWSEcon,dp235.pdf,NULL,"E32, E21",business cycles; risk aversion; risk sharing; heterogeneity,0
1046,The Impact of Athletic Performance on Alumni Giving:  An Analysis of Micro Data,Jonathan,NULL,Meer,Stanford University,Harvey,S.,Rosen,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"An ongoing controversy in the literature on the economics of higher education centers on whether the success of a school?s athletic program affects alumni donations. This paper uses a unique data set to investigate this issue. The data contain detailed information about donations made by alumni of a selective research university as well as a variety of their economic and de-mographic characteristics. One important question is how to characterize the success of an athlet-ic program. We focus not only on the performance of the most visible teams, football and bas-ketball, but also on the success of the team on which he or she played as an undergraduate.  One of our key findings is that the impact of athletic success on donations differs for men and women. When a male graduate?s former team wins its conference championship, his dona-tions for general purposes increase by about 7 percent and his donations to the athletic program increase by about the same percentage. Football and basketball records generally have small and statistically insignificant effects; in some specifications, a winning basketball season reduces do-nations. For women there is no statistically discernible effect of a former team?s success on cur-rent giving; as is the case for men, the impacts of football and basketball, while statistically sig-nificant in some specifications, are not important in magnitude. Another novel result is that for males, varsity athletes whose teams were successful when they were undergraduates subsequent-ly make larger donations to the athletic program. For example, if a male alumnus?s team won its conference championship during his senior year, his subsequent giving to the athletic program is about 8 percent a year higher, ceteris paribus.",2008-03,CEPS,162rosen.pdf,NULL,NULL,NULL,0
1047,Education for the Third Industrial Revolution,Alan,S.,Blinder,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"At the risk of sounding like a crass economist, I want to assert at the outset that one  major purpose of the K-12 educational system is ?vocational? in the broad sense.  Specifically, the K-12 system is a mechanism for preparing cadres of 18-year-olds (many  of whom will get some higher education first) to perform the tasks needed and  remunerated by the U.S. job market (or of being easily trained to do so). To be sure, this  narrowly economic purpose of mass public education is not the only reason to educate  America?s youth; an educated citizenry presumably has other social benefits as well. But  I believe it is an important purpose and, in any case, it is the perspective that guides this  essay. Any reader who does not accept this initial premise can stop reading right now.  My second, and much more controversial, premise is that the needs of the U.S.  economy are changing (that?s not the controversial part) in ways that are at least  somewhat predictable (that is the controversial part). To be sure, I am not foolish enough  to believe that we can predict in detail the mix of jobs that will be available in the United  States in, say, 2028 or 2038 and then fine-tune the educational system to meet those  demands. But I think at least two broad trends are clearly foreseeable.",2008-02,CEPS,163blinder.pdf,NULL,NULL,NULL,0
1048,Talking about Monetary Policy:  The Virtues (and Vices?) of Central Bank Communication,Alan,S.,Blinder,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Central banks, which used to be so secretive, are communicating more and more these days  about their monetary policy. This development has proceeded hand in glove with a  burgeoning new scholarly literature on the subject. The empirical evidence, reviewed  selectively here, suggests that communication can move financial markets, enhance the  predictability of monetary policy decisions, and perhaps even help central banks achieve  their goals. A number of theoretical drawbacks to greater communication are also reviewed  here. None seems very important in practice. That said, no consensus has yet emerged  regarding what constitutes ?optimal? communication strategy?either in quantity or nature.",2008-05,CEPS,164blinder.pdf,NULL,NULL,NULL,0
1049,The Unintended Consequences of Encouraging Work:  Tax Incidence and the EITC,Jesse,NULL,Rothstein,Princeton University and NBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The EITC is designed to encourage work. But EITC-induced increases in labor supply  may drive wages down, shifting the intended transfer toward employers and hurting non-  EITC low-skill workers. I exploit variation across family types and skill levels to identify  the eect of a large EITC expansion in the mid 1990s. Ceteris paribus, low-skill single  mothers keep only $0.70 of every dollar they receive. Employers of low-skill labor capture  $0.72, $0.30 from single mothers plus $0.43 from ineligible workers whose after-tax incomes  fall when the EITC is expanded. The net transfer to low-skill workers is less than $0.28  per dollar spent.",2008-05,CEPS,165rothstein.pdf,NULL,NULL,NULL,0
1050,New Paradigms in Stock Market Indexing,Derek,NULL,Jun,Merrill Lynch,Burton,G.,Malkiel,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Considerable recent interest has been shown in a new set of stock-market indices that are  weighted by fundamental factors such as sales, earnings, dividends or book values, rather  than by capitalization. In this paper, we analyze the performance of Fundamental  Indexing? (?FI?). First, we show that the source of FI?s recent excellent performance is  not from its ability to systematically arbitrage mispricing in a noisy market but from  increasing the portfolio?s exposure to stocks with low price-to-book values and with  small capitalizations. We find that FI does not produce a positive alpha when its excess  returns are explained by the Fama-French three-factor model of CAPM beta, the value  premium and the size premium. Second, we show that it is possible to construct a  portfolio of exchange-traded funds with similar factor loadings that can replicate, and  sometimes, even outperform FI. However, we caution investors not to expect consistent  outperformance from portfolios tilted towards value and small-cap stocks. Historical data  shows evidence of mean reversion in the performance of such strategies.",2008-01,IRS,166malkiel.pdf,NULL,NULL,NULL,0
1051,Making Monetary Policy by Committee,Alan,S.,Blinder,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"I was Vice Chairman of the Federal Reserve Board while I was preparing my  Marshall Lectures for delivery at Cambridge in 1995. So I asked the Board staff to  research what had been written about making monetary policy by committees?as  opposed to by individuals. Although they were (and remain) a knowledgeable and  thorough bunch, they unearthed almost nothing. So when I delivered the Robbins  Lectures at the London School of Economics the following year,1 this is what I concluded  on the subject:  My own hunch is that, on balance, the additional monetary policy inertia  imparted by group decisionmaking provides a net benefit to society? But my  main point is simpler: My experience as a member of the FOMC left me with  a strong feeling that the theoretical fiction that monetary policy is made by a  single individual maximizing a well-defined preference function misses  something important. In my view, monetary theorists should start paying  some attention to the nature of decisionmaking by committee, which is rarely  mentioned in the academic literature. (Blinder (1998), p. 22)  I made reference in that lecture to only one paper on the subject, Faust?s (1996) clever  model of the seemingly-odd construction of the FOMC, though I should have cited  Waller?s (1992) earlier work as well. (Mea culpa.) My point is that, up to then, there had  been hardly any research on committee decisionmaking.  Fortunately, that is no longer the case. By the time of my three Okun lectures at Yale  in 2002 (Blinder (2004)), the subject merited a whole lecture, including references to  about ten papers on the subject?and I missed some. (Mea culpa again.) The literature  has continued to grow since then, including seven papers at a Netherlands Central Bank  conference in 2005 and eleven papers at a Bank of Norway conference last year. The  study of central banking by committee thus appears to be a growth industry, albeit a small  one.",2008-06,CEPS,167blinder.pdf,NULL,NULL,NULL,0
1052,Returning to New Orleans after Hurricane Katrina,Christina,NULL,Paxson,Princeton University,Cecilia,NULL,Rouse,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"We examine the determinants of returning to New Orleans within 18 months of Hurricane  Katrina. Our theoretical framework predicts the probability of returning is positively associated  with less hurricane damage and greater pre-hurricane levels of location-specific capital. We test  these implications using data from a study of low-income parents?mainly African American  women. We find that flood exposure is the most important factor in determining the decision to  return. Among those who did not experience flooding, those who did not own homes or lived in  the homes of relatives or friends were less likely to return.",2008-01,CEPS,168rouse.pdf,NULL,NULL,NULL,0
1053,Monetary Policy in Oil-Producing Economies,Roman,E.,Romero,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Most oil-producing economies have a strong dependence on oil revenues for their  conomic performance and stability. This paper develops a general equilibrium model  f an oil-producing economy that takes into account a new transmission channel for oil  rice shocks. This transmission channel can be described as an income e�ect generated  y oil revenues, and the model shows that its role is important to fully understand  monetary policy in these economies. I ?rst present a static model that illustrates that  tension is present in such economies when faced with increases in oil prices. This  ension arises, on the one hand, from the contractionary e�ects of higher oil prices and,  n the other hand, from the income e�ect generated by the increased oil revenues. I  hen present and solve a dynamic model with price rigidities in a two-sector economy  ith an oil sector. I ?nd that the Phillips curve includes a measure of oil income that  responsible for additional in?ationary pressures. Impulse response functions show  hat, in terms of consumption and in?ation stabilization, the economy responds better  o a Taylor rule that reacts to both ?nal goods production and oil production than  o a Taylor rule that reacts to ?nal goods production only, although in the former  he volatility implied for non-oil output is higher. I also explore welfare-based optimal  monetary policy in this framework and conclude that a central bank can stabilize both  n?ation and output without trade-o� by reacting optimally to in?ation and the output gap. Additionally, among Taylor-type rules, a rule that reacts to consumption and not only to fi?nal goods production is welfare superior.",2008-01,IRS,169romero.pdf,NULL,NULL,NULL,0
1054,Student Sorting and Bias in Value Added Estimation:  Selection on Observables and Unobservables,Jesse,NULL,Rothstein,Princeton University and NBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Non-random assignment of students to teachers can bias value added estimates of  teachers? causal effects. Rothstein (2008) shows that typical value added models indicate  large counter-factual effects of 5th grade teachers on students? 4th grade learning,  implying that assignments do not satisfy the imposed assumptions. This paper quantifies  the resulting biases in estimates of 5th grade teachers? causal effects from several  value added models, under varying assumptions about the assignment process. Under  selection on observables, models for gain scores without controls or with only a single  lagged score control are subject to important bias, but models with controls for the full  test score history are nearly free of bias. I consider several scenarios for selection on  unobservables, using the across-classroom variance of observed variables to calibrate  each. Results indicate that even well-controlled models may be substantially biased,  with the magnitude of the bias depending on the amount of information available for  use in classroom assignments.",2008-06,CEPS,170rothstein.pdf,NULL,NULL,NULL,0
1055,Job Loss and the Decline in Job Security  in the United States,Henry,S.,Farber,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Job tenure and the incidence of long-term employment have declined sharply in the United  States. However, rates of job loss as measured by the Displaced Workers Survey (DWS),  while cyclical, have not increased. This presents a puzzle that has several potential  solutions. One is that, while overall rates of job loss have not increased, rates of job loss  for high-tenure workers have increased relative to those for lower-tenure workers. Another  is that there has been an increase in rates of job change that is not captured in the limited  questions asked in the DWS. Some of this seemingly voluntary job change (e.g., the taking  of an offered buy-out) may reflect the kind of worker displacement that the DWS was  meant to capture but is not reported as such by workers.  In this study, I address these issues by 1) documenting the decline in job tenure and longterm  employment using data from various supplements to the Current Population Survey  (CPS) from 1973-2006, 2) documenting the lack of secular change in rates of job loss  using data from the DWS from 1984-2006, and 3) exploring the extent to which the  observed patterns result from a relative increase in rates of job loss among high-tenure  workers. I find that the decline in job tenure and long-term employment is restricted to the  private sector and that there has been some increase in job tenure and long-term  employment in the public sector. I find no secular changes in relative rates of job loss in  either sector that could account for these trends. Reconciliation of the trends in the tenure  and displacement data must lie with a failure to identify all relevant displacement in the  DWS.",2008-06,CEPS,171farber.pdf,NULL,NULL,NULL,0
